,0
0,f,53,textio,textio,textio,1,1
1,RND_STATE,48,int,int,int,1,1
2,pred,196,ndarray,ndarray,ndarray,1,1
3,y_test,196,any,any,ndarray,3,3
4,x,133,str,str,str,1,1
5,feature,188,any,any,objecttype,3,3
6,labels,68,any,series,series,3,1
7,limit,188,int,int,1,1
8,mask_test,any,any,list,3,3
9,TRAIN_SIZE,45,int,int,int,1,1
10,range,187,functiontype,functiontype,functiontype,1,1
11,mask_train,44,any,any,list,3,3
12,X_test_df,154,list,list,list,1,1
13,filter_words,objecttype,objecttype,objecttype,1,1
14,ex,189,any,any,objecttype,3,3
15,fit_iter,193,int,int,int,1,1
16,test,224,list,list,list,1,1
17,print,193,functiontype,functiontype,functiontype,1,1
18,texts,90,any,any,list,3,3
19,open,119,functiontype,functiontype,functiontype,1,1
20,enumerate,188,functiontype,functiontype,functiontype,1,1
21,object,76,objecttype,objecttype,objecttype,1,1
22,example,228,dataframe;any,dataframe,dataframe,2,1
23,vw,167,any,any,objecttype,3,3
24,num,188,int,int,int,1,1
25,len,224,functiontype,functiontype,functiontype,1,1
