,0
0,valid_gen
1,test_samples
2,TRAIN_MARGIN
3,location
4,FOLD
5,scoress
6,oof_dict
7,x
8,history
9,EPOCHS
10,NBLOCK
11,maxpred
12,ntps
13,folder
14,THRESH
15,nfps
16,y2
17,enumerate
18,DEBUG
19,count
20,i
21,min
22,METRIC_THRESH
23,train_filenames
24,r
25,train_gen
26,imgs
27,test_gen
28,MOMENTUM
29,INFERENCE_MARGIN
30,filenames
31,fold_id
32,model
33,test_filenames
34,range
35,boxes_pred
36,DEBUG_SAMPLES
37,STDSD
38,outfile_score
39,boxes_true
40,region
41,pneumonia_locations
42,contrib
43,ENV
44,scores
45,prob_thresholds
46,XFORM
47,nthresh
48,TRAIN_LABEL_FILE
49,comp
50,train_samples
51,STRETCH
52,str
53,intpred
54,DEBUG_EPOCHS
55,outfile_sub
56,STDIZE
57,print
58,CHANNELS
59,STDMEAN
60,zip
61,valid_samples
62,w
63,filename
64,DEPTH
65,f
66,pred
67,outfile_oof
68,sub
69,outfile_test
70,conf
71,boxes_preds
72,y
73,BATCH_SIZE
74,CENTER
75,submission_dict
76,x2
77,thresh
78,TEST_IMAGE_FOLDER
79,height
80,IMAGE_SIZE
81,LR
82,h
83,overall_maps
84,USE_ELLIPSE
85,preds
86,max
87,width
88,DECAY
89,ns
90,predictionString
91,score_dict
92,ASSGT
93,df
94,TRAIN_IMAGE_FOLDER
95,valid_filenames
96,int
97,prediction_dict
98,len
