,0
0,outp
1,dense_n2
2,dense_n1
3,sub
4,most_freq_hours_in_test_data
5,in_h
6,max_ch
7,x
8,agg2_float
9,max_agg2
10,emb_agg2
11,fe
12,y_train
13,test_cols
14,EPOCHS
15,BATCHSIZE
16,max_dev
17,max_h
18,least_freq_hours_in_test_data
19,agg1_float
20,model
21,in_ch
22,epochs
23,emb_os
24,max_agg5
25,emb_agg1
26,LR
27,emb_n
28,dtypes
29,in_os
30,dense_n4
31,emb_h
32,max_app
33,emb_agg5
34,in_agg2
35,max_agg1
36,emb_agg3
37,agg4_float
38,print
39,in_agg4
40,max_agg4
41,emb_agg4
42,emb_ch
43,df
44,emb_app
45,in_agg3
46,embs
47,emb_dev
48,in_dev
49,in_app
50,dense_n3
51,in_agg1
52,agg3_float
53,in_agg5
54,agg5_float
55,max_os
56,max_agg3
