,0
0,corr
1,contactform_dic
2,df_test_challenge
3,cm3
4,y_test
5,df_num
6,df_raw
7,y
8,kein_abschluss
9,y_train
10,gender_dic
11,campaign_dic
12,X_train
13,list
14,ax
15,cross_valuation_score
16,season_lookup
17,range
18,training_accuracy
19,median_numberOfContacts
20,c
21,y_score
22,max
23,axes
24,month_lookup
25,str
26,settings
27,int_dic
28,columns_mod
29,this_scores
30,cross_valuation_score_std
31,X_test
32,print
33,median_duration
34,W
35,maxDepth
36,le
37,df
38,V
39,output
40,clf
41,fig
42,n
43,i
44,_
45,abschluss
46,bins
47,int
48,columns_drop
49,test_accuracy
50,binsar
