,0
0,TRAIN_DIR
1,sklearn
2,IMG_DIR_NAME
3,SEED
4,sub
5,y_true
6,mn
7,rle
8,x_true
9,IMG_WIDTH
10,y
11,test_df
12,kfold
13,sess
14,x_train
15,x
16,y_train
17,res_mask
18,y_test_pred_proba
19,skimage
20,valid_score
21,list_
22,SAVES_DIR_NAME
23,id_
24,list
25,y_valid_pred_proba
26,valid_loss
27,nn_name
28,range
29,y_train_pred
30,x_vld
31,mos
32,y_test_pred
33,min_object_size
34,IMG_TYPE
35,y_test_pred_original_size
36,min_object_sizes
37,str
38,valid_score_df
39,TEST_DIR
40,tmp
41,CW_DIR
42,train_score
43,print
44,train_score_df
45,train_index
46,y_vld
47,y_valid_pred
48,df
49,cv_num
50,y_pred_proba
51,MASK_DIR_NAME
52,zip
53,LOGS_DIR_NAME
54,valid_index
55,test_pred_ids
56,enumerate
57,fig
58,IMG_HEIGHT
59,y_trn
60,x_test
61,n
62,IMG_CHANNELS
63,train_df
64,i
65,y_pred
66,u_net
67,test_pred_rle
68,x_trn
69,axs
70,start
71,_
72,train_loss
73,len
