,0
1,batch_size
2,index
3,grads
4,vgrad
5,epsilons
6,filter2
7,cv_groups
8,num
9,n_1
10,train_raw
11,A
12,labels
13,h_layers
14,print
15,n
16,alpha
17,X
18,matched
19,denom
20,y_mean
21,test_raw
22,df
23,keep_probs
24,str
25,int
26,alph_decays
27,data
28,d_rms
29,params
30,y_test
31,sum
32,distance
33,tn
34,etrcost
35,cache
36,monomial
37,vectors
38,X_sample
39,labels_train
40,file_name
41,y
42,k
43,y_hat
44,lambdas
45,folds
46,s1
47,tcost
48,_lambda
49,len
50,acts
51,iterations
52,X_test
53,beta
54,min
55,y_size
56,depth
57,etscost
58,y_star
59,m
60,base_batch_size
61,batch_processing
62,keep_prob
63,gamma
64,fn
65,A2
66,numer
67,layer
68,j
69,epsilon
70,y_sample
71,layers
72,X_train
73,gammas
74,y_var
75,X_mean
76,y_train
77,pct
78,s0
79,dim
80,cost
81,tp
82,range
83,filter1
84,break_tol
85,seeds
86,oinst
87,m_test
88,X2
89,i
90,alphas
91,L
92,fp
