,0
0,sub_states
1,dict
2,test_features_subcats
3,sum_nitems
4,sub
5,resources
6,clf_name
7,train_features_cats
8,cv_scores
9,x
10,test_features
11,sub_subcats
12,test_features_nitems
13,submission_texts
14,sub_cats
15,train_features
16,cats_encoder
17,nitems_encoder
18,sub_grades
19,test_features_text
20,train_features_nitems
21,preds
22,test_features_price
23,test_features_cats
24,sum_prices
25,idx
26,text_vectorizer
27,grade_encoder
28,base_path
29,train_features_state
30,test
31,print
32,train_features_subcats
33,load_processed
34,train
35,df
36,open
37,train_features_text
38,test_features_state
39,tokenizer
40,clf
41,train_features_grade
42,test_features_grade
43,classifiers
44,resources_agg
45,prices_binned
46,subcats_encoder
47,i
48,state_encoder
49,nitems_binned
50,price_encoder
51,train_features_price
