,0
0,lgb_valid
1,map3
2,tuples
3,map3_mean
4,p
5,actual
6,y
7,feature_names
8,str_preds
9,x
10,v
11,test_features
12,ss
13,map3_std
14,X
15,map3_buf
16,labels
17,train_features
18,i2c
19,n_repeats
20,list
21,len
22,num_class
23,model
24,sorted
25,importance
26,range
27,preds
28,c
29,subm
30,train_files
31,ids
32,cnt
33,X_test
34,p_buf
35,print
36,model_fnames
37,train_index
38,test_files
39,train
40,zip
41,valid_index
42,enumerate
43,params
44,c2i
45,data_path
46,i
47,_
48,path
49,kf
50,lgb_train
51,label_ids
52,n_splits
