,0
0,f
1,SEED
2,train_active
3,col
4,cols
5,training
6,training_index
7,lgbm_params
8,y_valid
9,y
10,gp_df
11,x
12,y_train
13,lgtrain
14,testing
15,X
16,lbl
17,X_train
18,X_valid
19,start_vect
20,lgpred
21,ntest
22,ax
23,notebookstart
24,categorical
25,russian_stop
26,test_active
27,agg
28,c
29,period
30,n_user_items
31,tfidf_para
32,ridge_params
33,lgsub
34,ridge_oof_train
35,str
36,ridge_oof_test
37,lgb_clf
38,test
39,print
40,ready_df
41,ridge_preds
42,ridge
43,df
44,set
45,validation_index
46,gp
47,textfeats
48,tfvocab
49,traindex
50,object
51,comment
52,w
53,vectorizer
54,rms
55,test_periods
56,lgvalid
57,shape
58,testdex
59,kf
60,NFOLDS
61,train_periods
62,ntrain
63,len
