,0
0,COLUMN_BRAND
1,PATH_INPUT_TEST
2,MAX_TRIES
3,out_file
4,sum
5,TEST_COLUMN_SHIPPING
6,TEST_COLUMN_CONDITION
7,BATCH_SIZE
8,TEST_DATA_SIZE
9,IGN_CHAR
10,COLUMN_SHIPPING
11,TEST_COLUMN_DESCRIPTION
12,TRAIN_SIZE
13,TEST_COLUMN_CATEGORY
14,CONVERGENCE
15,PATH_TRAIN
16,THRESH
17,PATH_TEST_OUT
18,TEST_COLUMN_BRAND
19,line
20,PATH_TEST
21,start_time
22,TEST_COLUMN_NAME
23,PATH_INPUT_SPEC
24,open
25,DATA_SIZE
26,PATH_INPUT_TRAIN
27,COLUMN_CONDITION
28,COLUMN_CATEGORY
29,COLUMN_DESCRIPTION
30,TRAIN_RATIO
31,COLUMN_PRICE
32,TEST_COLUMN_ID
33,COLUMN_NAME
