,0
0,df_test
1,y_valid
2,LOAD_MODEL
3,__name__
4,p
5,preds_gb
6,count_descp
7,X_dummies
8,v
9,X_descp
10,best_model_gb
11,x
12,y_train
13,X
14,X_train
15,count_category
16,X_valid
17,d_valid
18,score
19,NUM_BRANDS
20,list
21,k
22,X_brand
23,param_grid
24,best_params
25,nrow_train
26,watchlist
27,pop_category
28,preds
29,vect_brand
30,X_category_s2
31,n_threads
32,X_test
33,print
34,df
35,df_train
36,zip
37,X_category
38,NAME_MIN_DF
39,params
40,GRID_SEARCH
41,MAX_FEAT_DESCP
42,pop_brand
43,d_train
44,best_scores
45,X_category_s1
46,model_gb
47,X_qnty
48,len
