,0
0,count_feat_names
1,rare_cats
2,date_names
3,y_val
4,dateFun
5,BATCH_SIZE
6,cat_idx
7,x
8,common_cats
9,y_train
10,date_is
11,pca
12,DEFAULT_RAT
13,train_data
14,X_train
15,reshaper
16,X
17,fold1
18,gbdt
19,sorted
20,importance
21,xgb
22,Xfold0
23,xy_pipe
24,cat_enc
25,MIN_COUNT
26,SCORING
27,DATA_PATH
28,date_pipe
29,cocrimeFun
30,cocrime_names
31,print
32,address_cat_is
33,FEATURE_PATH
34,train
35,HYPER_PARAMS
36,df
37,set
38,X_val
39,cocrime_pipe
40,Xfold1
41,xy_names
42,featureNames
43,all_cats
44,count_feat_fun
45,i
46,xy_scaler
47,features
48,fold0
49,xy_is
50,count_feat_pipe
51,len
