,0
0,printlist
1,nb_train_samples
2,image
3,top_model_weights_path
4,train_generator
5,imagepaths
6,maxIndex
7,imagepath
8,test_datagen
9,batch_size
10,INIT_LR
11,spamwriter
12,list
13,model
14,epochs
15,img_height
16,range
17,lists
18,max
19,str
20,layer
21,optimizers
22,img_width
23,validation_generator
24,print
25,train_data_dir
26,csvfile
27,problist
28,answerlist
29,open
30,train_datagen
31,nb_validation_samples
32,count
33,ImageDataGenerator
34,i
35,validation_data_dir
36,top_model
37,int
38,number
39,weights_path
