,0
0,desc_test
1,pred
2,count_train
3,main_categories
4,handle
5,count_names_test
6,name_train
7,count_names_train
8,X_test_desc
9,count_vec_names
10,x
11,X_test_names
12,X_train
13,train_data
14,X_train_desc
15,tf_idf
16,model
17,final_pred
18,brand_test
19,brands
20,names_test
21,tf_idf_names
22,str
23,desc_train
24,names_train
25,X_train_names
26,X_test
27,test
28,print
29,brand_train
30,count_vec
31,train
32,open
33,name_test
34,Y_train
35,desc
36,counts_all_names
37,brand_encoder
38,count_test
39,path
40,category
41,test_data
42,counts_all
43,names
