,0
0,weights
1,imgs
2,legal_labels
3,ix
4,out_path
5,p
6,fnames
7,BATCH_SIZE
8,x_train
9,y_train
10,filter_banks
11,history
12,label_index
13,EPOCHS
14,tensorboard
15,labels
16,test_data_path
17,n_samples
18,model
19,L
20,train_data_path
21,fname
22,results
23,samples
24,range
25,NUM_FOLDS
26,val_loss
27,model_path
28,sample_rate
29,BAGS
30,predicts
31,print
32,train
33,new_sample_rate
34,df
35,zip
36,root_path
37,probs
38,group
39,bag
40,label
41,best_epoch
42,val
43,val_mean
44,G
45,best_loss
46,shape
47,kf
48,index
49,fold
50,len
