,0
0,acc_svc
1,y_pred_decision_tree
2,testdf
3,y_pred_sgd
4,y_pred_linear_svc
5,knn
6,y_pred_log
7,port
8,x_train
9,y_train
10,j
11,y_pred_knn
12,models
13,gaussian
14,y_pred_gaussian
15,y_pred_perceptron
16,decision_tree
17,acc_log
18,acc_sgd
19,range
20,acc_perceptron
21,median_age
22,print
23,random_forest
24,logreg
25,sgd
26,acc_knn
27,acc_decision_tree
28,y_pred_random_forest
29,y_pred_svc
30,perceptron
31,acc_linear_svc
32,acc_random_forest
33,svc
34,x_test
35,traindf
36,i
37,acc_gaussian
38,linear_svc
39,y_pred
40,int
41,submission
42,len
