,0
0,f
1,recall
2,std_cc_bal
3,cols
4,inst
5,std_prev
6,nb_prev_per_curr
7,f_
8,prev
9,y
10,sum_cc_bal
11,trn_y
12,newstuff
13,std_pos
14,buro_counts
15,folds
16,std_buro
17,buro_credit_type_dum
18,sum_prev
19,score
20,tpr
21,sum_inst
22,data
23,std_inst
24,avg_buro_bal
25,n_fold
26,val_idx
27,feature_importance_df
28,indexer
29,pos
30,cc_bal
31,nb_bureau_per_curr
32,val_x
33,thresholds
34,buro
35,buro_credit_active_dum
36,categorical_feats
37,buro_full
38,test
39,prev_cat_features
40,oof_preds
41,feats
42,print
43,sum_buro
44,fold_importance_df
45,trn_x
46,avg_cc_bal
47,sum_pos
48,buro_bal
49,val_y
50,trn_idx
51,prev_dum
52,buro_credit_currency_dum
53,avg_pos
54,best_features
55,nb_prevs
56,enumerate
57,clf
58,avg_buro
59,fpr
60,precision
61,avg_prev
62,_
63,scores
64,sub_preds
65,avg_inst
66,nainfo2
