,0
0,train_columns
1,xgb_pred
2,exclude_missing
3,x
4,pred_final
5,sample
6,baseline_weight0
7,num_uniques
8,enumerate
9,test_columns
10,i
11,num_rows
12,missing_frac
13,df_test
14,ind
15,num_boost_rounds
16,list
17,model
18,range
19,dtrain
20,XGB_WEIGHT
21,test
22,dtest
23,test_dates
24,lg_xg__weight
25,y_mean
26,float
27,lgb_weight
28,object
29,y_pred
30,XGB1_WEIGHT
31,num_missing
32,dict
33,col
34,xgb_pred1
35,exclude_other
36,x_train
37,xgb_pred2
38,X_train
39,exc
40,dtype
41,str
42,print
43,p_test
44,num_ensembles
45,zip
46,OLS_WEIGHT
47,params
48,clf
49,cat_unique_thresh
50,catboost_weight
51,d_train
52,x_test
53,train_df
54,properties
55,pred
56,format
57,xgb_weight0
58,xgb_params
59,pred0
60,y
61,test_df
62,y_train
63,lbl
64,BASELINE_PRED
65,train_features
66,reg
67,prop
68,c
69,cat_feature_inds
70,X_test
71,train
72,df_train
73,exclude_unique
74,missing_perc_thresh
75,BASELINE_WEIGHT
76,submission
77,len
