,0
0,f
1,f_
2,__name__
3,cv_scores
4,x
5,test_features
6,folds
7,score
8,test_num_features
9,all_cut
10,train_text
11,train_features
12,i_c
13,num_features
14,losses
15,n_fold
16,test_word_features
17,char_vectorizer
18,val_idx
19,cv_score
20,test_text
21,class_mean
22,test
23,print
24,test_char_features
25,train
26,df
27,patterns
28,train_char_features
29,train_num_features
30,trn_idx
31,regex
32,cont_patterns
33,class_name
34,f_range
35,enumerate
36,repl
37,all_text
38,clf
39,class_pred
40,word_vectorizer
41,losses_per_folds
42,train_word_features
43,class_names
44,train_target
45,submission
46,len
