D://crw_data//np.append\source28\code\pd.DataFrame.ix_replace1.py,"b""KeyError: 'plocel0'\r\n""","writer.writerow([url, 89, ""train.ix[:, 'pixel0':]"",
    ""train.loc[:, 'plocel0':]"", t1, t2, 'pd.DataFrame.ix', 'pd.DataFrame.loc'])
",KeyError
D://crw_data//np.zeros\source398\code\pd.DataFrame.ix_replace0.py,AssertionError,"writer.writerow([url, 142, 'data.ix[0:890]', 'data.iloc[0:890]', t1, t2,
    'pd.DataFrame.ix', 'pd.DataFrame.iloc'])
",AssertionError
D://crw_data//np.zeros\source400\code\pd.DataFrame.ix_replace0.py,AssertionError,"writer.writerow([url, 141, 'data.ix[0:890]', 'data.iloc[0:890]', t1, t2,
    'pd.DataFrame.ix', 'pd.DataFrame.iloc'])
",AssertionError
D://crw_data//pd.concat\source1065\code\pd.DataFrame.ix_replace0.py,AssertionError,"writer.writerow([url, 921, 'combined.ix[0:train_rows]',
    'combined.iloc[0:train_rows]', t1, t2, 'pd.DataFrame.ix',
    'pd.DataFrame.iloc'])
",AssertionError
D://crw_data//pd.concat\source1066\code\pd.DataFrame.ix_replace0.py,AssertionError,"writer.writerow([url, 921, 'combined.ix[0:train_rows]',
    'combined.iloc[0:train_rows]', t1, t2, 'pd.DataFrame.ix',
    'pd.DataFrame.iloc'])
",AssertionError
D://crw_data//pd.concat\source1067\code\pd.DataFrame.ix_replace0.py,AssertionError,"writer.writerow([url, 921, 'combined.ix[0:train_rows]',
    'combined.iloc[0:train_rows]', t1, t2, 'pd.DataFrame.ix',
    'pd.DataFrame.iloc'])
",AssertionError
D://crw_data//pd.concat\source1068\code\pd.DataFrame.ix_replace0.py,AssertionError,"writer.writerow([url, 921, 'combined.ix[0:train_rows]',
    'combined.iloc[0:train_rows]', t1, t2, 'pd.DataFrame.ix',
    'pd.DataFrame.iloc'])
",AssertionError
D://crw_data//pd.concat\source1069\code\pd.DataFrame.ix_replace0.py,AssertionError,"writer.writerow([url, 921, 'combined.ix[0:train_rows]',
    'combined.iloc[0:train_rows]', t1, t2, 'pd.DataFrame.ix',
    'pd.DataFrame.iloc'])
",AssertionError
D://crw_data//pd.concat\source1118\code\pd.DataFrame.ix_replace0.py,AssertionError,"writer.writerow([url, 314, 'combined.ix[0:890]', 'combined.iloc[0:890]', t1,
    t2, 'pd.DataFrame.ix', 'pd.DataFrame.iloc'])
",AssertionError
D://crw_data//pd.concat\source571\code\pd.DataFrame.ix_replace0.py,AssertionError,"writer.writerow([url, 106, 'all_datas.ix[0:890]', 'all_datas.iloc[0:890]',
    t1, t2, 'pd.DataFrame.ix', 'pd.DataFrame.iloc'])
",AssertionError
D://crw_data//pd.read_csv\source2168\code\pd.DataFrame.ix_replace2.py,TypeError: cannot do slice indexing on <class \'pandas.core.indexes.base.Index\'> with these indexers [1] of <class \'int\'>,"writer.writerow([url, 51, ""train.ix[(train['label'] == y), 1:]"",
    ""train.loc[(train['label'] == y), 1:]"", t1, t2, 'pd.DataFrame.ix',
    'pd.DataFrame.loc'])
",TypeError
D://crw_data//pd.read_csv\source2507\code\pd.DataFrame.ix_replace1.py,TypeError: cannot do slice indexing on <class \'pandas.core.indexes.base.Index\'> with these indexers [4] of <class \'int\'>,"writer.writerow([url, 21, 'train_sample.ix[:, start_col:end_col]',
    'train_sample.loc[:, start_col:end_col]', t1, t2, 'pd.DataFrame.ix',
    'pd.DataFrame.loc'])
",TypeError
D://crw_data//pd.read_csv\source2507\code\pd.DataFrame.ix_replace6.py,AssertionError,"writer.writerow([url, 41, 'train.ix[10001:10010, start_col:end_col]',
    'train.iloc[10001:10010, start_col:end_col]', t1, t2, 'pd.DataFrame.ix',
    'pd.DataFrame.iloc'])
",AssertionError
