https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.arange_replace0.py,495,"np.arange(1,data.shape[0]+1)","np.array(range(1,data.shape[0]+1))",np.arange,np.array
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.dot_einsum_replace0.py,46,"np.dot(W,filter1)","np.einsum('ij,jm->im',W,filter1)",np.dot,np.einsum
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.dot_einsum_replace1.py,112,"np.dot(W,A_prev)","np.einsum('ij,jm->im',W,A_prev)",np.dot,np.einsum
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.dot_einsum_replace10.py,380,"np.dot((X_sample-X_mean).T,X_sample-X_mean)","np.einsum('ij,jm->im',(X_sample-X_mean).T,X_sample-X_mean)",np.dot,np.einsum
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.dot_einsum_replace2.py,133,"np.dot(dZ,A1.T)","np.einsum('ij,jm->im',dZ,A1.T)",np.dot,np.einsum
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.dot_einsum_replace3.py,152,"np.dot(W2.T,dZ2)","np.einsum('ij,jm->im',W2.T,dZ2)",np.dot,np.einsum
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.dot_einsum_replace8.py,379,"np.dot((X_sample-X_mean).T,y_var)","np.einsum('ij,jm->im',(X_sample-X_mean).T,y_var)",np.dot,np.einsum
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.dot_einsum_replace9.py,380,"np.dot((y_sample-y_mean).T,y_sample-y_mean)","np.einsum('ij,jm->im',(y_sample-y_mean).T,y_sample-y_mean)",np.dot,np.einsum
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.ndarray.sum_einsum_replace10.py,462,np.sum((y_hat==1-y_star)*(1-y_star)*1),"np.einsum('i->',np)",np.ndarray.sum,np.einsum
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.ndarray.sum_einsum_replace11.py,463,np.sum((y_hat==1-y_star)*y_star*1),"np.einsum('i->',np)",np.ndarray.sum,np.einsum
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.ndarray.sum_einsum_replace2.py,134,"np.sum(dZ,axis=1,keepdims=True)","np.einsum('ij->i',np)",np.ndarray.sum,np.einsum
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.ndarray.sum_einsum_replace6.py,380,"np.sum(np.dot((X_sample-X_mean).T,X_sample-X_mean))","np.einsum('i->',np)",np.ndarray.sum,np.einsum
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.ndarray.sum_einsum_replace7.py,459,np.sum((1-np.abs(y_star-y_hat))*y_star),"np.einsum('i->',np)",np.ndarray.sum,np.einsum
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.ndarray.sum_einsum_replace8.py,460,np.sum((y_hat==y_star)*y_star*1),"np.einsum('i->',np)",np.ndarray.sum,np.einsum
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.ndarray.sum_einsum_replace9.py,461,np.sum((y_hat==y_star)*(1-y_star)*1),"np.einsum('i->',np)",np.ndarray.sum,np.einsum
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.sum_einsum_replace3.py,460,np.sum((y_hat==y_star)*y_star*1),"np.einsum('i->',(y_hat==y_star)*y_star*1)",np.sum,np.einsum
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.sum_einsum_replace4.py,461,np.sum((y_hat==y_star)*(1-y_star)*1),"np.einsum('i->',(y_hat==y_star)*(1-y_star)*1)",np.sum,np.einsum
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.sum_einsum_replace5.py,462,np.sum((y_hat==1-y_star)*(1-y_star)*1),"np.einsum('i->',(y_hat==1-y_star)*(1-y_star)*1)",np.sum,np.einsum
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.sum_einsum_replace6.py,463,np.sum((y_hat==1-y_star)*y_star*1),"np.einsum('i->',(y_hat==1-y_star)*y_star*1)",np.sum,np.einsum
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.zeros_empty_replace0.py,47,"np.zeros((n[l],1))","np.empty((n[l],1));r2[:]=0",np.zeros,np.empty
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.zeros_empty_replace1.py,293,"np.zeros((m,10))","np.empty((m,10));r2[:]=0",np.zeros,np.empty
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.zeros_empty_replace2.py,370,"np.zeros((n[0],n[0]))","np.empty((n[0],n[0]));r2[:]=0",np.zeros,np.empty
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\pd.Series.astype_replace0.py,502,df.astype(int),df.apply(int),pd.Series.astype,pd.Series.apply
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\pd.Series.replace_map_replace0.py,501,"df.replace([np.inf,-np.inf,np.nan],0)","df.map([np.inf,-np.inf,np.nan],0)",pd.Series.replace,pd.Series.map
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.linalg.norm_replace1.py,444,np.linalg.norm(grads['dW'+str(L)]),np.sqrt(np.square(grads['dW'+str(L)]).sum()),np.linalg.norm,np.sqrt_sum
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.ndarray.sum_einsum_replace0.py,74,"np.sum(t,axis=0)","np.einsum('ij->j',np)",np.ndarray.sum,np.einsum
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.ndarray.sum_einsum_replace1.py,96,np.sum(logprobs),"np.einsum('i->',np)",np.ndarray.sum,np.einsum
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.sum_einsum_replace1.py,96,np.sum(logprobs),"np.einsum('i->',logprobs)",np.sum,np.einsum
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.array_concatenate_replace0.py,291,np.array(train_raw['label']),np.concatenate([train_raw['label']]),np.array,np.concatenate
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.array_hstack_replace0.py,291,np.array(train_raw['label']),np.hstack((train_raw['label'])),np.array,np.hstack
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.linalg.norm_replace0.py,382,np.linalg.norm(filter1),np.sqrt(np.square(filter1).sum()),np.linalg.norm,np.sqrt_sum
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.sumcount_nonzero_replace0.py,460,np.sum((y_hat==y_star)*y_star*1),np.count_nonzero((y_hat==y_star)*y_star*1),np.sum,np.count_nonzero
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.sumcount_nonzero_replace1.py,461,np.sum((y_hat==y_star)*(1-y_star)*1),np.count_nonzero((y_hat==y_star)*(1-y_star)*1),np.sum,np.count_nonzero
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.sumcount_nonzero_replace2.py,462,np.sum((y_hat==1-y_star)*(1-y_star)*1),np.count_nonzero((y_hat==1-y_star)*(1-y_star)*1),np.sum,np.count_nonzero
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.sumcount_nonzero_replace3.py,463,np.sum((y_hat==1-y_star)*y_star*1),np.count_nonzero((y_hat==1-y_star)*y_star*1),np.sum,np.count_nonzero
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.sum_einsum_replace0.py,74,"np.sum(t,axis=0)","np.einsum('ij->j',t)",np.sum,np.einsum
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.sum_einsum_replace2.py,459,np.sum((1-np.abs(y_star-y_hat))*y_star),"np.einsum('i->',(1-np.abs(y_star-y_hat))*y_star)",np.sum,np.einsum
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.sum_sum_replace0.py,74,"np.sum(t,axis=0)",(t).sum(axis=0),np.sum,np.ndarray.sum
https://www.kaggle.com/aawadall/deep-neural-net,D://crw_data//df.astype\source2,D://crw_data//df.astype\source2\code\np.sum_sum_replace1.py,96,np.sum(logprobs),(logprobs).sum(),np.sum,np.ndarray.sum
https://www.kaggle.com/abhisheksharma26jan/zillowabhishek,D://crw_data//df.fillna\source13,D://crw_data//df.fillna\source13\code\np.ndarray.sum_count_nonzero_replace0.py,358,train_df[c].isnull().sum(),"np.count_nonzero(train_df[c].isnull(),)",np.ndarray.sum,np.count_nonzero
https://www.kaggle.com/abhisheksharma26jan/zillowabhishek,D://crw_data//df.fillna\source13,D://crw_data//df.fillna\source13\code\np.ndarray.sum_einsum_replace0.py,274,np.sum([abs(y[i]-ypred[i])foriinrange(len(y))]),"np.einsum('i->',np)",np.ndarray.sum,np.einsum
https://www.kaggle.com/abhisheksharma26jan/zillowabhishek,D://crw_data//df.fillna\source13,D://crw_data//df.fillna\source13\code\np.ndarray.sum_einsum_replace1.py,358,train_df[c].isnull().sum(),"np.einsum('i->',train_df[c].isnull())",np.ndarray.sum,np.einsum
https://www.kaggle.com/abhisheksharma26jan/zillowabhishek,D://crw_data//df.fillna\source13,D://crw_data//df.fillna\source13\code\np.ndarray.sum_np.sum_replace0.py,358,train_df[c].isnull().sum(),"np.sum(train_df[c].isnull(),)",np.ndarray.sum,np.sum
