1,airbnb-recruiting-new-user-bookings,https://www.kaggle.com/etherqua/airbnbdemo,df_all.date_account_created.astype(str),df_all.date_account_created.apply(str),pd.Series.astype,pd.Series.apply
0,allstate-claims-severity,https://www.kaggle.com/mmueller/categorical-embedding-with-xgb,np.array(list(zip(*sorted(val.items())))),np.concatenate([list(zip(*sorted(val.items())))]),np.array,np.concatenate
0,allstate-claims-severity,https://www.kaggle.com/nightshade7/allstatetest,"np.hstack((catData.T, df[cols[117:nFeat - 1]].as_matrix()))","np.append(catData.T, df[cols[117:nFeat - 1]].as_matrix(), axis=1)",np.hstack,np.append
0,allstate-claims-severity,https://www.kaggle.com/scirpus/quick-genetic-programme,"test.loc[:, (col)]","test.ix[:, (col)]",pd.DataFrame.loc,pd.DataFrame.ix
0,allstate-claims-severity,https://www.kaggle.com/silpara/h2o-python-starter,"train_test.loc[(train_test.flag == 1), :]","train_test.ix[(train_test.flag == 1), :]",pd.DataFrame.loc,pd.DataFrame.ix
0,allstate-claims-severity,https://www.kaggle.com/vgerald/predict-claims-severity-v2,"train.ix[:, 'cat1':'cat116']","train.loc[:, 'cat1':'cat116']",pd.DataFrame.ix,pd.DataFrame.loc
0,allstate-claims-severity,https://www.kaggle.com/vgerald/predict-claims-severity-v2,"test.ix[:, 'cont1':'cont14']","test.loc[:, 'cont1':'cont14']",pd.DataFrame.ix,pd.DataFrame.loc
0,allstate-claims-severity,https://www.kaggle.com/vgerald/predict-claims-severity-v2,"test.ix[:, 'cont1':'cont14']","test.loc[:, 'cont1':'cont14']",pd.DataFrame.ix,pd.DataFrame.loc
1,allstate-claims-severity,https://www.kaggle.com/nightshade7/allstatetest,"np.hstack((catData.T, df[cols[117:nFeat - 1]].as_matrix()))","np.concatenate((catData.T, df[cols[117:nFeat - 1]].as_matrix()), axis=1)",np.hstack,np.concatenate
1,allstate-claims-severity,https://www.kaggle.com/nightshade7/allstatetest,"np.vstack((catData, temp))","np.column_stack((catData.T, temp.T)).T",np.vstack,np.column_stack
1,allstate-claims-severity,https://www.kaggle.com/scirpus/naive-bayes-xgb,"traindata.loc[:, (col)]","traindata.ix[:, (col)]",pd.DataFrame.loc,pd.DataFrame.ix
1,allstate-claims-severity,https://www.kaggle.com/scirpus/quick-genetic-programme,"blindtrain.loc[:, (col)]","blindtrain.ix[:, (col)]",pd.DataFrame.loc,pd.DataFrame.ix
1,allstate-claims-severity,https://www.kaggle.com/silpara/h2o-python-starter,"train_test.loc[(train_test.flag == -1), :]","train_test.ix[(train_test.flag == -1), :]",pd.DataFrame.loc,pd.DataFrame.ix
1,allstate-claims-severity,https://www.kaggle.com/tilii7/ensemble-weights-minimization-vs-mcmc,np.array(answer),np.concatenate([answer]),np.array,np.concatenate
1,allstate-claims-severity,https://www.kaggle.com/vecxoz/test1,"test_df.loc[:, ('loss')]","test_df.ix[:, ('loss')]",pd.DataFrame.loc,pd.DataFrame.ix
0,allstate-claims-severity,https://www.kaggle.com/vgerald/predict-claims-severity-v2,"train.ix[:, 'cat1':'cat116']","train.loc[:, 'cat1':'cat116']",pd.DataFrame.ix,pd.DataFrame.loc
0,bnp-paribas-cardif-claims-management,https://www.kaggle.com/anilcs/et-classifier,df[columnName].map(lambda y: 1 if y == x else 0),"np.where( df[columnName] == x , 1 ,0)",pd.Series.map,np.where
0,bnp-paribas-cardif-claims-management,https://www.kaggle.com/scirpus/benouilli-naive-bayes,df[columnName].map(lambda y: 1 if y == x else 0),"np.where( df[columnName] == x , 1 ,0)",pd.Series.map,np.where
1,bnp-paribas-cardif-claims-management,https://www.kaggle.com/anilcs/ectra-with-new-features,"train.loc[train[c].round(5) == 0, c]","train.ix[train[c].round(5) == 0, c]",pd.DataFrame.loc,pd.DataFrame.ix
1,bnp-paribas-cardif-claims-management,https://www.kaggle.com/anilkumarkuppa/extratreesclassifier-score-0-45911,"train.loc[train_series.isnull(), train_name]","train.ix[train_series.isnull(), train_name]",pd.DataFrame.loc,pd.DataFrame.ix
1,bnp-paribas-cardif-claims-management,https://www.kaggle.com/bguberfain/v22-classifier,"train.loc[~train[c].isin(cboth), c]","train.ix[~train[c].isin(cboth), c]",pd.DataFrame.loc,pd.DataFrame.ix
1,bnp-paribas-cardif-claims-management,https://www.kaggle.com/happycube/simple-cv-example-one-feature-near-rf,"all_data.loc[all_data[key] != na, key]","all_data.ix[all_data[key] != na, key]",pd.DataFrame.loc,pd.DataFrame.ix
1,bnp-paribas-cardif-claims-management,https://www.kaggle.com/happycube/simple-cv-example-one-feature-near-rf,"np.full(len(train_bag), 0, dtype=np.float32)","np.zeros(len(train_bag), dtype=np.float32)",np.full,np.zeros
1,bnp-paribas-cardif-claims-management,https://www.kaggle.com/scirpus/ordinal-xgb-lb-46190,"train.loc[~train[col].isin(test[col]), col]","train.ix[~train[col].isin(test[col]), col]",pd.DataFrame.loc,pd.DataFrame.ix
1,bnp-paribas-cardif-claims-management,https://www.kaggle.com/tsetsenos/firstpyscript,"train.loc[train_type.isnull(), train_col]","train.ix[train_type.isnull(), train_col]",pd.DataFrame.loc,pd.DataFrame.ix
0,bosch-production-line-performance,https://www.kaggle.com/cesarboucas/oneclasssvm,np.ones(X_outliers.shape[0]),np.empty(X_outliers.shape[0]); r2.fill(1),np.ones,np.empty
0,bosch-production-line-performance,https://www.kaggle.com/nkdxczh/test-py,np.where(clf.feature_importances_ > 0),np.nonzero(clf.feature_importances_ > 0),np.where,np.nonzero
1,bosch-production-line-performance,https://www.kaggle.com/alexxanderlarko/road-2-0-4-featureset,"train.loc[train.Id.isin(tr.Id), 'StartTime']","train.ix[train.Id.isin(tr.Id), 'StartTime']",pd.DataFrame.loc,pd.DataFrame.ix
1,bosch-production-line-performance,https://www.kaggle.com/happycube/scirpus-extreme-bayes-faron-36312,"blindtraindata.loc[:, (col)]","blindtraindata.ix[:, (col)]",pd.DataFrame.loc,pd.DataFrame.ix
1,carvana-image-masking-challenge,https://www.kaggle.com/paulorzp/run-length-encode-and-decode,np.where(pixels[1:] != pixels[:-1]),np.nonzero(pixels[1:] != pixels[:-1]),np.where,np.nonzero
1,carvana-image-masking-challenge,https://www.kaggle.com/zusmani/baseline-optimal-mask,"np.array(train_masks, dtype=np.uint8)","np.fromiter(train_masks, dtype=np.uint8)",np.array,np.fromiter
0,caterpillar-tube-pricing,https://www.kaggle.com/marbel/keras-dummy-vars,np.array(train_values),np.concatenate([train_values]),np.array,np.concatenate
0,caterpillar-tube-pricing,https://www.kaggle.com/yifanxie/training-set-split-for-cross-validation,np.sum((np.log1p(tr_preds) - np.log1p(tr_test_y)) ** 2),((np.log1p(tr_preds) - np.log1p(tr_test_y)) ** 2).sum(),np.sum,np.ndarray.sum
1,caterpillar-tube-pricing,https://www.kaggle.com/ghozlan/traincsv-numonly-py,np.where(predicted < 0),np.nonzero(predicted < 0),np.where,np.nonzero
1,costa-rican-household-poverty-prediction,https://www.kaggle.com/aleiken/beginner-xgboost,df_train['Target'].replace(mapping),df_train['Target'].map(mapping),pd.Series.replace,pd.Series.map
1,costa-rican-household-poverty-prediction,https://www.kaggle.com/ymatioun/hoh-only-scaled,np.zeros([len_train]),np.empty([len_train]); r2[:]= 0,np.zeros,np.empty
1,coupon-purchase-prediction,https://www.kaggle.com/mkurnikov/modified-cos-similarity-python-edition,"np.dot(user_profiles, W)","np.einsum('ij,jm->im',user_profiles, W)",np.dot,np.einsum
