postid,type,questionid,tags,source,content,ce1,ce2,t1,t2
1889627,answer,1888870,"python,numpy",codeblock,https://stackoverflow.com/questions/1889627,"imgarray3 = imgarray.view('B')[:,::4]",imgarray2 = imgarray.astype('B'),0.00364,0.107
2767545,answer,2761645,"python,numpy,python-imaging-library",codeblock,https://stackoverflow.com/questions/2767545,np.array(im_bw.convert('L')).astype(np.uint8),"np.reshape(im_bw.getdata(), im_bw.size)",0.028,0.0573
3315974,answer,3315894,"python,optimization,numpy",codeblock,https://stackoverflow.com/questions/3315974,m[:3].T,m[:3].T.tolist(),0.00626,0.18
3315974,answer,3315894,"python,optimization,numpy",codeblock,https://stackoverflow.com/questions/3315974,m[:3].T,numpy.asarray(m[:3].T),0.00626,0.0109
3315974,answer,3315894,"python,optimization,numpy",codeblock,https://stackoverflow.com/questions/3315974,numpy.asarray(m[:3].T),m[:3].T.tolist(),0.0109,0.18
3315974,answer,3315894,"python,optimization,numpy",codeblock,https://stackoverflow.com/questions/3315974,m[:3].T,[p[:3].tolist()for p in numpy.asarray(m.T)],0.00626,0.289
3315974,answer,3315894,"python,optimization,numpy",codeblock,https://stackoverflow.com/questions/3315974,m[:3].T.tolist(),[p[:3].tolist()for p in numpy.asarray(m.T)],0.18,0.289
3315974,answer,3315894,"python,optimization,numpy",codeblock,https://stackoverflow.com/questions/3315974,numpy.asarray(m[:3].T),[p[:3].tolist()for p in numpy.asarray(m.T)],0.0109,0.289
3651058,answer,3650194,"python,performance,numpy",sentence,numpy.abs() is slower than abs() because it also handles numpy arrays: it contains additional code that provides this flexibility.,abs(),numpy.abs(),,
5891540,answer,5891523,"python,arrays,numpy",codeblock,https://stackoverflow.com/questions/5891540,x.sum(),sum(x),0.0102,4.01
5900729,answer,5891523,"python,arrays,numpy",codeblock,https://stackoverflow.com/questions/5900729,x.sum(),sum(x),0.0175,0.0188
5900729,answer,5891523,"python,arrays,numpy",codeblock,https://stackoverflow.com/questions/5900729,x.sum(),sum(x),0.0032,0.00444
5900729,answer,5891523,"python,arrays,numpy",codeblock,https://stackoverflow.com/questions/5900729,x.sum(),sum(x),0.158,0.165
6042010,comment,5349570,"python,numpy",sentence,a.prod() is slightly faster than np.prod(a),a.prod(),np.prod(a),,
6681416,answer,6681284,"python,arrays,numpy",codeblock,https://stackoverflow.com/questions/6681416,"numpy.tile(numpy.array([1, 2, 3]), 1000)","numpy.array([1, 2, 3]* 1000)",0.122,1.85
6681416,answer,6681284,"python,arrays,numpy",codeblock,https://stackoverflow.com/questions/6681416,"numpy.array([1, 2, 3]* 3)","numpy.tile(numpy.array([1, 2, 3]), 3)",0.0163,0.037
6696913,answer,6694835,"python,serialization,dictionary,numpy",codeblock,https://stackoverflow.com/questions/6696913,"numpy.array(bitarray.bitarray(a.flat)).reshape(5, 5)","numpy.array(bitstring.ConstBitArray(a.flat)).reshape(5, 5)",0.0199,0.283
6736970,answer,6736590,"python,numpy,nan",codeblock,https://stackoverflow.com/questions/6736970,np.isnan(np.sum(x)),np.isnan(np.min(x)),0.0973,0.244
6736970,answer,6736590,"python,numpy,nan",codeblock,https://stackoverflow.com/questions/6736970,np.isnan(np.sum(x)),np.isnan(np.min(x)),0.0959,0.153
6736970,answer,6736590,"python,numpy,nan",codeblock,https://stackoverflow.com/questions/6736970,np.isnan(np.sum(x)),np.isnan(np.min(x)),0.0958,0.239
6736970,answer,6736590,"python,numpy,nan",codeblock,https://stackoverflow.com/questions/6736970,np.isnan(np.sum(x)),np.isnan(np.min(x)),0.0959,0.326
6739580,answer,6736590,"python,numpy,nan",codeblock,https://stackoverflow.com/questions/6739580,"isnan(dot(x, x))",isnan(x.min()),0.138,4.47
6739580,answer,6736590,"python,numpy,nan",codeblock,https://stackoverflow.com/questions/6739580,isnan(x.sum()),isnan(x.min()),0.169,0.2
6739580,answer,6736590,"python,numpy,nan",codeblock,https://stackoverflow.com/questions/6739580,"isnan(dot(x, x))",isnan(x.min()),0.134,0.2
6739580,answer,6736590,"python,numpy,nan",codeblock,https://stackoverflow.com/questions/6739580,"isnan(dot(x, x))",isnan(x.sum()),0.134,0.169
6739580,answer,6736590,"python,numpy,nan",codeblock,https://stackoverflow.com/questions/6739580,isnan(x.min()),isnan(x.sum()),4.47,6.44
6739580,answer,6736590,"python,numpy,nan",codeblock,https://stackoverflow.com/questions/6739580,"isnan(dot(x, x))",isnan(x.sum()),0.138,6.44
6740606,answer,6740311,"python,arrays,numpy",codeblock,https://stackoverflow.com/questions/6740606,"b = np.concatenate((a,c),axis=0)","b = np.vstack((a,c))",0.0133,0.0261
6740606,answer,6740311,"python,arrays,numpy",sentence,"just as a note, on my machine for the sized arrays in the op's question, i find that np.concatenate is about 2x faster than np.vstack",np.concatenate,np.vstack,,
6959641,answer,6959477,"python,numpy,scipy",codeblock,https://stackoverflow.com/questions/6959641,"a=np.empty(shape,dtype=dt); a.fill(val)","a=np.tile(val,shape)",0.013,0.102
7196334,answer,7193870,"python,numpy",codeblock,https://stackoverflow.com/questions/7196334,"np.repeat(a,nrows*np.ones(a.shape[0],np.int),0)","np.kron(a,np.ones((nrows,1)))",0.0128,0.117
