1,airbnb-recruiting-new-user-bookings,D:\crw_data\np.argsort\source37,df_all.date_account_created.astype(str),df_all.date_account_created.apply(str),pd.Series.astype,pd.Series.apply,
1,allstate-claims-severity,D:\crw_data\np.array\source765,np.array(list(zip(*sorted(val.items())))),np.concatenate([list(zip(*sorted(val.items())))]),np.array,np.concatenate,
1,allstate-claims-severity,D:\crw_data\np.hstack\source53,"np.hstack((catData.T, df[cols[117:nFeat - 1]].as_matrix()))","np.append(catData.T, df[cols[117:nFeat - 1]].as_matrix(), axis=1)",np.hstack,np.append,
1,allstate-claims-severity,D:\crw_data\pd.concat\source797,"test.loc[:, (col)]","test.ix[:, (col)]",pd.DataFrame.loc,pd.DataFrame.ix,
1,allstate-claims-severity,D:\crw_data\pd.concat\source964,"train_test.loc[(train_test.flag == 1), :]","train_test.ix[(train_test.flag == 1), :]",pd.DataFrame.loc,pd.DataFrame.ix,
1,allstate-claims-severity,D:\crw_data\pd.read_csv\source1047,"train.ix[:, 'cat1':'cat116']","train.loc[:, 'cat1':'cat116']",pd.DataFrame.ix,pd.DataFrame.loc,
1,allstate-claims-severity,D:\crw_data\pd.read_csv\source1047,"test.ix[:, 'cont1':'cont14']","test.loc[:, 'cont1':'cont14']",pd.DataFrame.ix,pd.DataFrame.loc,
1,allstate-claims-severity,D:\crw_data\pd.read_csv\source1047,"test.ix[:, 'cont1':'cont14']","test.loc[:, 'cont1':'cont14']",pd.DataFrame.ix,pd.DataFrame.loc,
1,allstate-claims-severity,D:\crw_data\np.hstack\source53,"np.hstack((catData.T, df[cols[117:nFeat - 1]].as_matrix()))","np.concatenate((catData.T, df[cols[117:nFeat - 1]].as_matrix()), axis=1)",np.hstack,np.concatenate,
1,allstate-claims-severity,D:\crw_data\np.hstack\source53,"np.vstack((catData, temp))","np.column_stack((catData.T, temp.T)).T",np.vstack,np.column_stack,
1,allstate-claims-severity,D:\crw_data\pd.read_csv\source797,"traindata.loc[:, (col)]","traindata.ix[:, (col)]",pd.DataFrame.loc,pd.DataFrame.ix,
1,allstate-claims-severity,D:\crw_data\pd.concat\source797,"blindtrain.loc[:, (col)]","blindtrain.ix[:, (col)]",pd.DataFrame.loc,pd.DataFrame.ix,
