,,,,,ɸѡ,
allstate-claims-severity,D://crw_data//np.array\source783,50,np.array(answer),np.concatenate([answer]),np.array,np.concatenate
allstate-claims-severity,D://crw_data//np.array\source765,92,np.array(list(zip(*sorted(val.items())))),np.concatenate([list(zip(*sorted(val.items())))]),np.array,np.concatenate
carvana-image-masking-challenge,D://crw_data//np.array\source1027,75,"np.array(train_masks, dtype=np.uint8)","np.fromiter(train_masks, dtype=np.uint8)",np.array,np.fromiter
caterpillar-tube-pricing,D://crw_data//df.apply\source60,86,np.array(train_values),np.hstack((train_values)),np.array,np.hstack
caterpillar-tube-pricing,D://crw_data//df.apply\source25,85,np.array(train_values),np.concatenate([train_values]),np.array,np.concatenate
caterpillar-tube-pricing,D://crw_data//df.apply\source25,85,np.array(train_values),np.hstack((train_values)),np.array,np.hstack
caterpillar-tube-pricing,D://crw_data//df.apply\source80,87,np.array(train_values),np.hstack((train_values)),np.array,np.hstack
caterpillar-tube-pricing,D://crw_data//df.apply\source80,88,np.array(train_values),np.hstack((train_values)),np.array,np.hstack
digit-recognizer,D://crw_data//df.astype\source2,291,np.array(train_raw['label']),np.hstack((train_raw['label'])),np.array,np.hstack
digit-recognizer,D://crw_data//np.array\source671,45,np.array(train),np.concatenate([train]),np.array,np.concatenate
digit-recognizer,D://crw_data//np.array\source1039,18,"np.array(row[1:], dtype=np.uint8)","np.fromiter(row[1:], dtype=np.uint8)",np.array,np.fromiter
digit-recognizer,D://crw_data//df.astype\source2,291,np.array(train_raw['label']),np.concatenate([train_raw['label']]),np.array,np.concatenate
house-prices-advanced-regression-techniques,D://crw_data//np.array\source728,61,np.array(all_data[train.shape[0]:]),np.concatenate([all_data[train.shape[0]:]]),np.array,np.concatenate
house-prices-advanced-regression-techniques,D://crw_data//np.array\source728,60,np.array(all_data[:train.shape[0]]),np.concatenate([all_data[:train.shape[0]]]),np.array,np.concatenate
house-prices-advanced-regression-techniques,D://crw_data//df.loc\source149,257,np.array(y),np.hstack((y)),np.array,np.hstack
instacart-market-basket-analysis,D://crw_data//np.argsort\source22,8,"np.array(products, dtype='int')","np.fromiter(products, dtype='int')",np.array,np.fromiter
new-york-city-taxi-fare-prediction,D://crw_data//np.abs\source17,65,np.array(dists),np.hstack((dists)),np.array,np.hstack
otto-group-product-classification-challenge,D://crw_data//np.array\source708,47,np.array(train),np.concatenate([train]),np.array,np.concatenate
otto-group-product-classification-challenge,D://crw_data//np.array\source708,49,np.array(labels),np.concatenate([labels]),np.array,np.concatenate
PLAsTiCC-2018,D://crw_data//df.iloc\source65,279,np.array([class_weight[k] for k in sorted(class_weight.keys())]),np.hstack(([class_weight[k] for k in sorted(class_weight.keys())])),np.array,np.hstack
PLAsTiCC-2018,D://crw_data//df.iloc\source65,211,np.array([class_weight[k] for k in sorted(class_weight.keys())]),np.hstack(([class_weight[k] for k in sorted(class_weight.keys())])),np.array,np.hstack
recruit-restaurant-visitor-forecasting,D://crw_data//df.fillna\source16,166,np.array(full_df[coln]),np.hstack((full_df[coln])),np.array,np.hstack
recruit-restaurant-visitor-forecasting,D://crw_data//df.fillna\source16,166,np.array(full_df[coln]),np.concatenate([full_df[coln]]),np.array,np.concatenate
recruit-restaurant-visitor-forecasting,D://crw_data//df.iloc\source62,225,np.array(a),np.hstack((a)),np.array,np.hstack
santander-product-recommendation,D://crw_data//df.fillna\source56,34,np.array(test[col]),np.hstack((test[col])),np.array,np.hstack
santander-product-recommendation,D://crw_data//df.fillna\source73,60,np.array(test[col]),np.hstack((test[col])),np.array,np.hstack
tap30challenge,D://crw_data//np.array\source224,16,"np.array((hse, row, col, hod), dtype=np.int32)","np.fromiter((hse, row, col, hod), dtype=np.int32)",np.array,np.fromiter
titanic,D://crw_data//df.fillna\source30,219,np.array(L),np.concatenate([L]),np.array,np.concatenate
titanic,D://crw_data//np.arange\source93,717,"np.array(results['param_C'].data, dtype=float)","np.fromiter(results['param_C'].data, dtype=float)",np.array,np.fromiter
digit-recognizer,D://crw_data//np.concatenate\source128,35,"np.c_[xx.ravel(), yy.ravel()]","np.hstack([xx.ravel(), yy.ravel()])",np.c_,np.hstack
digit-recognizer,D://crw_data//np.concatenate\source128,38,"np.c_[xx.ravel(), yy.ravel()]","np.hstack([xx.ravel(), yy.ravel()])",np.c_,np.hstack
facebook-v-predicting-check-ins,D://crw_data//df.loc\source106,163,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack
facebook-v-predicting-check-ins,D://crw_data//df.loc\source267,165,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack
facebook-v-predicting-check-ins,D://crw_data//df.loc\source242,127,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack
facebook-v-predicting-check-ins,D://crw_data//df.loc\source264,129,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack
facebook-v-predicting-check-ins,D://crw_data//df.loc\source265,129,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack
facebook-v-predicting-check-ins,D://crw_data//df.loc\source268,109,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack
facebook-v-predicting-check-ins,D://crw_data//df.loc\source269,163,"np.column_stack((row_ids, pred_labels))","np.vstack((row_ids.T, pred_labels.T)).T",np.column_stack,np.vstack
