airbnb-recruiting-new-user-bookings,4,5,0,5,0,1,0.00%,0.00%
allstate-claims-severity,9,14,6,18,8,15,42.86%,44.44%
bnp-paribas-cardif-claims-management,9,11,2,11,2,9,18.18%,18.18%
bosch-production-line-performance,4,4,2,4,2,4,50.00%,50.00%
carvana-image-masking-challenge,2,2,0,2,0,2,0.00%,0.00%
caterpillar-tube-pricing,5,8,2,9,2,3,25.00%,22.22%
costa-rican-household-poverty-prediction,3,4,0,6,0,2,0.00%,0.00%
coupon-purchase-prediction,1,2,0,2,0,1,0.00%,0.00%
crowdflower-search-relevance,3,5,3,7,5,7,60.00%,71.43%
digit-recognizer,34,76,44,88,49,63,57.89%,55.68%
expedia-hotel-recommendations,4,8,5,8,5,6,62.50%,62.50%
facebook-v-predicting-check-ins,17,24,12,29,16,26,50.00%,55.17%
favorita-grocery-sales-forecasting,2,2,0,2,0,1,0.00%,0.00%
flavours-of-physics,1,2,2,2,2,2,100.00%,100.00%
ghouls-goblins-and-ghosts-boo,2,4,1,4,1,1,25.00%,25.00%
grupo-bimbo-inventory-demand,5,6,3,6,3,5,50.00%,50.00%
home-credit-default-risk,6,10,6,10,6,9,60.00%,60.00%
homesite-quote-conversion,1,2,2,2,2,2,100.00%,100.00%
house-prices-advanced-regression-techniques,21,51,25,56,28,43,49.02%,50.00%
how-much-did-it-rain,2,2,2,2,2,2,100.00%,100.00%
instacart-market-basket-analysis,3,6,2,6,2,6,33.33%,33.33%
introducing-kaggle-scripts,4,4,3,4,3,3,75.00%,75.00%
jigsaw-toxic-comment-classification-challenge,4,9,6,9,6,8,66.67%,66.67%
kobe-bryant-shot-selection,9,19,15,32,27,28,78.95%,84.38%
leaf-classification,1,1,0,1,0,1,0.00%,0.00%
liberty-mutual-group-property-inspection-prediction,12,27,20,43,27,40,74.07%,62.79%
mercedes-benz-greener-manufacturing,7,14,8,20,12,16,57.14%,60.00%
new-york-city-taxi-fare-prediction,1,2,1,2,1,1,50.00%,50.00%
nyc-taxi-trip-duration,2,5,1,5,1,3,20.00%,20.00%
otto-group-product-classification-challenge,3,6,4,6,4,6,66.67%,66.67%
PLAsTiCC-2018,2,6,4,12,9,9,66.67%,75.00%
porto-seguro-safe-driver-prediction,5,7,2,8,2,7,28.57%,25.00%
predicting-red-hat-business-value,3,4,1,4,1,3,25.00%,25.00%
prudential-life-insurance-assessment,9,26,21,32,25,28,80.77%,78.13%
pubg-finish-placement-prediction,4,9,4,9,4,7,44.44%,44.44%
quora-question-pairs,2,3,1,3,1,2,33.33%,33.33%
recruit-restaurant-visitor-forecasting,5,7,2,8,2,5,28.57%,25.00%
rossmann-store-sales,8,12,6,12,6,10,50.00%,50.00%
santa-gift-matching,3,6,3,6,3,5,50.00%,50.00%
santander-customer-satisfaction,8,11,4,12,5,11,36.36%,41.67%
santander-product-recommendation,5,9,6,15,9,14,66.67%,60.00%
santander-value-prediction-challenge,3,7,4,7,4,4,57.14%,57.14%
sberbank-russian-housing-market,21,336,318,497,474,493,94.64%,95.37%
sf-crime,7,20,12,20,12,19,60.00%,60.00%
shelter-animal-outcomes,5,68,62,70,63,66,91.18%,90.00%
springleaf-marketing-response,1,1,0,1,0,1,0.00%,0.00%
talkingdata-adtracking-fraud-detection,2,3,1,3,1,1,33.33%,33.33%
talkingdata-mobile-user-demographics,10,13,7,16,8,10,53.85%,50.00%
tap30challenge,2,3,1,4,1,1,33.33%,25.00%
titanic,145,317,95,342,107,247,29.97%,31.29%
web-traffic-time-series-forecasting,4,7,2,8,2,5,28.57%,25.00%
whats-cooking-kernels-only,2,5,2,7,2,3,40.00%,28.57%
,437,1215,735,1497,957,1267,60.49%,63.93%
